Rank,Artist,Monthly Listeners
521,Simon & Garfunkel,15693540
522,Darell,15672283
523,Rochak Kohli,15667979
524,Bob Sinclar,15636589
525,Grupo Marca Registrada,15623864
526,Machine Gun Kelly,15582556
527,NewJeans,15580604
528,Roxette,15564568
529,TLC,15533132
530,Sean Kingston,15511304
531,Lynyrd Skynyrd,15495513
532,Bradley Cooper,15379634
533,Bryant Myers,15378426
534,Gigi Perez,15281184
535,LE SSERAFIM,15278000
536,Camila,15272258
537,Dei V,15218330
538,Nengo Flow,15152328
539,Becky Hill,15122110
540,Isabel LaRosa,15119114
541,Henrique & Juliano,15117211
542,Madison Beer,15115611
543,Paulo Londra,15112111
544,Sade,15110268
545,Dave,15026460
546,Ofenbach,14996040
547,Jordan Adetunji,14992141
548,Milo j,14989701
549,Armin van Buuren,14907345
550,Jeremih,14854923
551,Morat,14792423
552,Tony Dize,14786225
553,Calle 24,14783936
554,Armaan Malik,14772664
555,BigXthaPlug,14769959
556,Rahat Fateh Ali Khan,14751933
557,Gigi D'Agostino,14743279
558,Laufey,14742447
559,The Clash,14725010
560,Ice Cube,14705075
561,Weezer,14698777
562,Mike Posner,14661585
563,Wham!,14614121
564,Alex Warren,14609324
565,Los Enanitos Verdes,14576302
566,Ricky Martin,14570103
567,Little Mix,14560665
568,Black Sabbath,14552446
569,Passenger,14534363
570,Ludmilla,14522357
571,Ella Henderson,14512650
572,Maitre Gims,14508809
573,Bring Me The Horizon,14489595
574,Alessia Cara,14481805
575,Cults,14472502
576,Kumaar,14470819
577,The 1975,14455019
578,Lenny Kravitz,14348555
579,Steve Aoki,14293739
580,Michael Marcagi,14261256
581,SYML,14254569
582,Electric Light Orchestra,14238312
583,Nate Ruess,14228301
584,Jasleen Royal,14227824
585,Piso 21,14189941
586,Milky Chance,14186500
587,blackbear,14170645
588,Lil Tjay,14166895
589,Ram Sampath,14154534
590,Zerb,14150324
591,Tove Lo,14150021
592,Slipknot,14139736
593,Ms. Lauryn Hill,14107145
594,Boney M.,14089979
595,Manan Bhardwaj,14064684
596,Jimin,14055454
597,DJ Nelson,14049431
598,Lata Mangeshkar,14021637
599,Rag'n'Bone Man,14011561
600,Pablo Alborán,14007944
601,Scorpions,13987015
602,Three Days Grace,13953441
603,Foreigner,13949289
604,KHEA,13910083
605,Tinashe,13898715
606,Jatin-Lalit,13897564
607,Paul McCartney,13882821
608,Jack Johnson,13880232
609,KISS,13865231
610,Imanbek,13803094
611,Em Beihold,13798936
612,Salim–Sulaiman,13787971
613,Depeche Mode,13751183
614,S. P. Balasubrahmanyam,13745483
615,Benny Dayal,13745156
616,The Mamas & The Papas,13744022
617,Beach House,13718364
618,Santana,13697378
619,John Newman,13692194
620,NF,13647789
621,Shania Twain,13625626
622,Niall Horan,13617820
623,Russ,13606898
624,Papa Roach,13573902
625,MAGIC!,13571207
626,Gucci Mane,13551786
627,Sexyy Red,13489458
628,Christina Perri,13467957
629,Pearl Jam,13454927
630,Anuv Jain,13448650
631,Brray,13441618
632,Montell Fish,13439970
633,Natti Natasha,13420574
634,Lyanno,13400855
635,24kGoldn,13391729
636,Taio Cruz,13352058
637,Sukhwinder Singh,13328960
638,Haze,13317041
639,Jorge & Mateus,13307727
640,Devi Sri Prasad,13281151
641,MC Kevin o Chris,13251253
642,Survivor,13239942
643,Ke Personajes,13213113
644,Leon Bridges,13211996
645,W&W,13194882
646,Tracy Chapman,13193559
647,X Ambassadors,13188496
648,Rex Orange County,13148739
649,6LACK,13097019
650,Joan Sebastian,13086022
651,iann dior,13027190
652,D-Block Europe,13026702
653,Zion,13012162
654,Odetari,13010999
655,Jungle,12984923
656,Melanie Martinez,12984642
657,Dimitri Vegas,12978074
658,The Fray,12969139
659,DJ Luian,12962175
660,Arcane,12961371
661,Sajid-Wajid,12949818
662,Meek Mill,12932293
663,Irshad Kamil,12929868
664,AURORA,12929753
665,Gusttavo Lima,12902295
666,Galantis,12875084
667,Zendaya,12852408
668,Noriel,12834168
669,Yuvan Shankar Raja,12820845
670,Gym Class Heroes,12802551
671,Matheus & Kauan,12753558
672,Dalex,12716910
673,Mambo Kingz,12711613
674,Hans Zimmer,12703918
675,Yng Lvcas,12700849
676,Alfredo Olivas,12697526
677,Sachet-Parampara,12686889
678,MC PH,12665717
679,Silk Sonic,12657139
680,Patrick Watson,12618361
681,Flo Milli,12616154
682,Alejandro Sanz,12598705
683,Kylie Minogue,12592336
684,Shekhar Ravjiani,12570319
685,Modern Talking,12556664
686,Ángela Aguilar,12532206
687,The Doors,12530229
688,Rudimental,12529220
689,Bonnie Tyler,12516000
690,A$AP Ferg,12501831
691,Johnny Cash,12482424
692,Vicente Fernández,12443279
693,Rick Ross,12442210
694,M83,12434299
695,Joel Corry,12411225
696,dhruv,12407986
697,Mahalini,12391081
698,WILLOW,12381520
699,Eric Clapton,12373369
700,Beach Weather,12372402
701,Jorja Smith,12365058
702,Saiko,12364342
703,Fergie,12359681
704,AP Dhillon,12344745
705,Natalia Lafourcade,12343572
706,Rammstein,12342019
707,Chief Keef,12292047
708,De La Rose,12286808
709,Jhené Aiko,12283896
710,Ciara,12275984
711,Men At Work,12258224
712,Key Glock,12251502
713,Diddy,12233753
714,Jesse & Joy,12229595
715,Shubh,12227775
716,Sixpence None The Richer,12226955
717,Mc Daniel,12208997
718,Redbone,12207668
719,Jeet Gannguli,12206767
720,Spice Girls,12202708
721,Kausar Munir,12197041
722,Eden Muñoz,12194847
723,Aretha Franklin,12184854
724,fun.,12178516
725,Chance Peña,12178482
726,Louis Armstrong,12142506
727,Morad,12133179
728,The Pussycat Dolls,12127249
729,Tyler Childers,12117301
730,The Marías,12110830
731,Dennis DJ,12098460
732,Kate Bush,12095816
733,America,12093731
734,KALEO,12092166
735,Deftones,12077147
736,Mc Don Juan,12055707
737,NAV,12040129
738,Jax Jones,12034170
739,Addison Rae,12011003
740,Bellakath,12004230
741,Roop Kumar Rathod,11998245
742,Moneybagg Yo,11989892
743,Juicy Luicy,11983686
744,Otis Redding,11979079
745,Big One,11955068
746,$uicideBoy$,11937495
747,Gustavo Mioto,11935380
748,Kungs,11916407
749,Robbie Williams,11902118
750,Mary J. Blige,11886698
751,Lukas Graham,11886665
752,No Doubt,11885703
753,Tones & I,11883271
754,Rae Sremmurd,11877783
755,Iyaz,11867462
756,Etta James,11862048
757,Cher,11843960
758,Phoebe Bridgers,11820132
759,3 Doors Down,11806369
760,Kany Garcia,11805687
761,Ajay-Atul,11787501
762,The Smashing Pumpkins,11783249
763,Purple Disco Machine,11770974
764,Sid Sriram,11755231
765,Omar Courtz,11751114
766,Blondie,11744723
767,James Bay,11722087
768,The Beach Boys,11716746
769,Los Tigres Del Norte,11707452
770,Nicky Youre,11679782
771,Cosculluela,11670258
772,Ze Neto & Cristiano,11669123
773,Van Halen,11668078
774,Nanpa Básico,11640826
775,Luísa Sonza,11640151
776,Pawan Singh,11630956
777,John Lennon,11628218
778,Wisin,11626494
779,The Black Keys,11624285
780,Los Tucanes De Tijuana,11613914
781,Stormzy,11610602
782,Jowell & Randy,11600218
783,Imogen Heap,11593742
784,Maren Morris,11589974
785,Little Simz,11580966
786,Busta Rhymes,11575009
787,GloRilla,11567833
788,Sting,11566236
789,ZZ Top,11549453
790,Mon Laferte,11539843
791,Karthik,11537691
792,Calibre 50,11519310
793,Ben E. King,11512314
794,Billy Idol,11509410
795,Luck Ra,11508748
796,José José,11502566
797,Parampara Tandon,11478601
798,Prince,11471056
799,Bomba Estéreo,11461668
800,Mc IG,11459308
801,Yuridia,11452955
802,Korn,11423317
803,Lizzo,11414294
804,Blur,11397094
805,Stromae,11395983
806,Hombres G,11385901
807,Luan Santana,11383842
808,Nikhita Gandhi,11376965
809,Oliver Tree,11364688
810,Kumar Sanu,11348915
811,Blake Shelton,11325094
812,dazy,11324732
813,Kenia OS,11319289
814,Kailash Kher,11309893
815,Sum 41,11298229
816,Soulja Boy,11281842
817,Normani,11268574
818,Rvfv,11245849
819,Jessie Murph,11240096
820,New West,11237106
821,KayBlack,11231775
822,Harris Jayaraj,11230173
823,Marc Anthony,11213861
824,Tokischa,11202188
825,Flume,11195607
826,Thundercat,11184923
827,Lyodra,11175760
828,Lin-Manuel Miranda,11168738
829,NIKI,11158354
830,KATSEYE,11151108
831,Brytiago,11139294
832,La Arrolladora Banda El Limón De Rene Camacho,11132899
833,Arash,11124486
834,Jasiel Nuñez,11119399
835,Father John Misty,11108631
836,Sasha Sloan,11096888
837,Marco Antonio Solís,11079725
838,Sadhana Sargam,11078076
839,Juan Luis Guerra 4.40,11054790
840,Mario,11054100
841,Bad Gyal,11048468
842,Edgardo Nuñez,11046878
843,Ray Charles,11044084
844,Juan Gabriel,11018661
845,Jess Glynne,11014164
846,Mazzy Star,10978296
847,Counting Crows,10974726
848,Manu Chao,10970949
849,Nio Garcia,10933553
850,Selena Gomez & The Scene,10933224
851,The Game,10929921
852,Lionel Richie,10925947
853,Seafret,10906709
854,Marília Mendonça,10906454
855,Doechii,10849223
856,6ix9ine,10837649
857,Lainey Wilson,10813574
858,La Adictiva Banda San José de Mesillas,10790487
859,Timmy Trumpet,10788369
860,Bakermat,10786320
861,Like Mike,10781875
862,WIU,10776530
863,H.E.R.,10754666
864,Bailey Zimmerman,10725345
865,Avenged Sevenfold,10714628
866,Capital Cities,10701243
867,Sleepy Hallow,10700038
868,Regard,10699911
869,The Temper Trap,10699375
870,Belinda,10694137
871,Simone Mendes,10686094
872,Maiara & Maraisa,10682934
873,Tim McGraw,10679008
874,2 Chainz,10673273
875,Mustard,10657203
876,Murilo Huff,10650451
877,Luke Bryan,10641350
878,Omah Lay,10640243
879,Ken Car$on,10636261
880,Sin Bandera,10635436
881,The Cardigans,10633952
882,Lunay,10623099
883,Creed,10615423
884,Natalie Imbruglia,10608020
885,Carrie Underwood,10605399
886,Crowded House,10600985
887,Tina Turner,10594904
888,The Temptations,10570054
889,John Denver,10568370
890,Veigh,10561535
891,La Bouche,10560100
892,Tulus,10551926
893,James Hype,10547411
894,Nate Smith,10543497
895,Mumford & Sons,10531897
896,keshi,10523425
897,INNA,10514048
898,Jordan Davis,10512242
899,Lizzy McAlpine,10500083
900,Suki Waterhouse,10498904
901,OMI,10497837
902,Rod Stewart,10497172
903,Tego Calderon,10493634
904,Jarabe De Palo,10486336
905,Ashe,10480037
906,Will Smith,10474646
907,Santa Fe Klan,10469980
908,Edward Maya,10465617
909,Kenya Grace,10451108
910,Thomas Rhett,10440613
911,Vacations,10426993
912,Elyanna,10425442
913,Matt Sassari,10408690
914,Mc Delux,10407013
915,Birdy,10402124
916,Jim Croce,10380591
917,Dynoro,10366761
918,Fifth Harmony,10350622
919,Sam Feldt,10332221
920,Kansas,10328713
921,Orochi,10325741
922,Will.i.am,10325103
923,James Blunt,10318104
924,Santhosh Narayanan,10317655
925,Wallows,10287087
926,Willie Colón,10286158
927,R. D. Burman,10281343
928,L7NNON,10280041
929,Indila,10279630
930,S. S. Thaman,10261836
931,Payal Dev,10259746
932,Haddaway,10253718
933,Soda Stereo,10253485
934,Sublime,10227007
935,Matuê,10210578
936,Los Dareyes De La Sierra,10208324
937,Pixies,10208049
938,The Verve,10206545
939,Snow Patrol,10180630
940,Seu Jorge,10168677
941,Funk Wav,10166522
942,Franco De Vita,10152384
943,Riley Green,10122483
944,Icona Pop,10110518
945,Shashaa Tirupati,10089129
946,Sal Priadi,10085528
947,MC Cebezinho,10076821
948,Asha Bhosle,10075416
949,Keyshia Cole,10069689
950,T.I.,10069559
951,G. V. Prakash,10009543
952,MC Hariel,9995059
953,Abhijeet,9986591
954,Talking Heads,9984060
955,Dilsinho,9982731
956,Bakar,9980437
957,Aitana,9974920
958,Masego,9965957
959,Sophie Ellis-Bextor,9958986
960,Skillet,9943758
961,Ace of Base,9936795
962,Mari Fernandez,9935949
963,Tom Petty,9935327
964,Seeb,9923995
965,(Sandy) Alex G,9922521
966,Florida Georgia Line,9915522
967,Mahalakshmi Iyer,9900957
968,aespa,9898086
969,Bazzi,9893117
970,Franz Ferdinand,9882508
971,Mau y Ricky,9880491
972,YG,9879869
973,MARINA,9873853
974,ILLIT,9851525
975,Rita Ora,9848151
976,Chicago,9837110
977,Jaymes Young,9823410
978,Raffaella Carrà,9821564
979,Supertramp,9816313
980,Selena,9801131
981,SAINt JHN,9800388
982,Dermot Kennedy,9792736
983,070 Shake,9776409
984,Andy Grammer,9766921
985,Matheus Fernandes,9762604
986,Rage Against The Machine,9748719
987,Carla Morrison,9748026
988,King,9739251
989,Laura Pausini,9727866
990,Fitz and The Tantrums,9725838
991,DMX,9715501
992,El Padrinito Toys,9704507
993,Kenny Rogers,9697088
994,Guilherme & Benuto,9687608
995,Alvaro Diaz,9681776
996,Lit Killah,9679503
997,Duran Duran,9678840
998,Raghav Chaitanya,9671238
999,Boza,9670334
1000,Owl City,9663964
